Player Name,Team,Nationality,Player Type,Capped,Matches Played,Runs,Average,Strike Rate,Wickets,Bowling Average,Economy,Bowling Strike Rate,Catches,Run Outs,Stumps
Lockie Ferguson,Lucknow Super Giants,Bangladeshi,Bowler,No,40,,,,241,11.78,4.03,52.01,15,2,
Avesh Khan,Royal Challengers Bangalore,South African,Wicket-Keeper,Yes,40,3703,33.48,132.84,,,,,35,10,6
Ruturaj Gaikwad,Royal Challengers Bangalore,Pakistani,Batsman,No,23,2295,24.38,84.79,,,,,13,20,
Odean Smith,Lucknow Super Giants,Sri Lankan,Batsman,Yes,59,1338,56.89,140.37,,,,,29,10,
Shivam Dube,Royal Challengers Bangalore,Afghan,All-Rounder,No,4,1759,18.33,106.39,181,12.67,9.11,25.05,5,12,
Najmul Hossain,Sunrisers Hyderabad,South African,All-Rounder,Yes,82,2943,54.82,141.73,88,17.97,5.64,52.63,44,11,
Shreyas Iyer,Mumbai Indians,Bangladeshi,All-Rounder,No,89,2974,13.8,165.5,148,42.83,6.64,39.04,25,13,
Trent Boult,Chennai Super Kings,South African,All-Rounder,Yes,79,3620,11.2,134.93,114,35.57,7.71,78.75,17,6,
Devon Conway,Punjab Kings,West Indian,All-Rounder,Yes,26,1185,57.09,193.54,9,46.28,6.14,42.52,49,9,
Hardik Pandya,Lucknow Super Giants,Australian,Wicket-Keeper,No,72,24,41.83,111.52,,,,,41,7,7
Cameron Green,Punjab Kings,South African,Batsman,Yes,69,3080,27.47,110.44,,,,,13,5,
Jos Buttler,Delhi Capitals,Australian,All-Rounder,No,6,841,34.13,198.59,212,49.46,9.64,65.78,36,6,
Mehidy Hasan,Lucknow Super Giants,Bangladeshi,Bowler,No,29,,,,15,22.86,8.78,16.99,24,7,
Faf du Plessis,Rajasthan Royals,Afghan,Bowler,Yes,14,,,,134,12.2,4.64,23.28,28,9,
Jonny Bairstow,Kolkata Knight Riders,South African,All-Rounder,Yes,91,1897,13.97,74.37,238,41.53,5.11,74.77,17,12,
Taskin Ahmed,Sunrisers Hyderabad,Indian,Wicket-Keeper,Yes,53,267,33.2,186.39,,,,,18,17,2
Rohit Sharma,Chennai Super Kings,Afghan,Wicket-Keeper,Yes,97,2793,30.18,160.94,,,,,32,12,4
Umran Malik,Kolkata Knight Riders,New Zealander,Wicket-Keeper,No,92,2418,12.94,104.7,,,,,24,20,3
Babar Azam,Punjab Kings,Australian,Bowler,Yes,100,,,,239,30.43,7.01,61.99,40,16,
Dwaine Pretorius,Royal Challengers Bangalore,New Zealander,All-Rounder,No,93,1990,41.67,131.02,28,20.55,8.12,72.34,11,2,
Mitchell Santner,Delhi Capitals,Indian,Batsman,Yes,46,1744,44.72,61.27,,,,,27,13,
Fazalhaq Farooqi,Chennai Super Kings,Bangladeshi,Bowler,No,34,,,,120,40.36,4.88,21.72,33,1,
Kuldeep Yadav,Gujarat Titans,Australian,All-Rounder,Yes,31,3875,51.13,54.61,37,43.63,7.29,63.08,35,5,
Haris Rauf,Sunrisers Hyderabad,South African,Bowler,No,78,,,,184,14.55,8.66,74.76,49,10,
MS Dhoni,Lucknow Super Giants,Australian,All-Rounder,Yes,46,3897,10.48,162.37,2,14.96,9.7,31.86,17,20,
Rassie van der Dussen,Punjab Kings,English,Bowler,No,100,,,,236,25.19,8.35,27.5,25,6,
Dhananjaya de Silva,Lucknow Super Giants,Sri Lankan,All-Rounder,No,34,2528,27.37,199.29,171,35.72,5.65,36.98,16,3,
